Company,Sector,City,State,Ceo_Woman,lat,lon
Walmart,Retailing,Bentonville,AR,no,36.3728538,-94.2088172
Amazon,Retailing,Seattle,WA,no,47.6038321,-122.330062
Apple,Technology,Cupertino,CA,no,37.3228934,-122.0322895
CVS Health,Health Care,Woonsocket,RI,yes,42.0028761,-71.5147839
UnitedHealth Group,Health Care,Minnetonka,MN,no,44.9405086,-93.4638936
Exxon Mobil,Energy,Irving,TX,no,32.8295183,-96.9442177
Berkshire Hathaway,Financials,Omaha,NE,no,41.2587459,-95.9383758
Alphabet,Technology,Mountain View,CA,no,49.133333,-113.6
McKesson,Health Care,Irving,TX,no,32.8295183,-96.9442177
AmerisourceBergen,Health Care,Conshohocken,PA,no,40.0792766,-75.3015714
Costco Wholesale,Retailing,Issaquah,WA,no,47.5348778,-122.0432974
Cigna,Health Care,Bloomfield,CT,no,41.826488,-72.7300945
AT&T,Telecommunications,Dallas,TX,no,32.7762719,-96.7968559
Microsoft,Technology,Redmond,WA,no,47.6694141,-122.1238767
Cardinal Health,Health Care,Dublin,OH,no,40.0992294,-83.1140771
Chevron,Energy,San Ramon,CA,no,37.7648021,-121.9544387
Home Depot,Retailing,Atlanta,GA,no,33.7489924,-84.3902644
Walgreens Boots Alliance,Food & Drug Stores,Deerfield,IL,yes,42.1711365,-87.8445119
Marathon Petroleum,Energy,Findlay,OH,no,41.0413873,-83.6503982
Kroger,Food & Drug Stores,Cincinnati,OH,no,39.1014537,-84.5124602
Ford Motor,Motor Vehicles & Parts,Dearborn,MI,no,42.3222599,-83.1763145
Verizon Communications,Telecommunications,New York,NY,no,40.7127281,-74.0060152
JPMorgan Chase,Financials,New York,NY,no,40.7127281,-74.0060152
General Motors,Motor Vehicles & Parts,Detroit,MI,yes,42.3315509,-83.0466403
Centene,Health Care,St. Louis,MO,yes,38.6280278,-90.1910154
Meta Platforms,Technology,Menlo Park,CA,no,37.4519671,-122.177992
Comcast,Telecommunications,Philadelphia,PA,no,39.9527237,-75.1635262
Phillips 66,Energy,Houston,TX,no,29.7589382,-95.3676974
Valero Energy,Energy,San Antonio,TX,no,29.4246002,-98.4951405
Dell Technologies,Technology,Round Rock,TX,no,30.5085915,-97.6788056
Target,Retailing,Minneapolis,MN,no,44.9772995,-93.2654692
Fannie Mae,Financials,Washington,DC,no,38.8950368,-77.0365427
